id,status,ticker,direction,contract_symbol,expiry,filled_at,closed_at,playbook,record_class,backfill_audit_id,proof_class,ticker_bucket,pnl_pct,pnl_field,entry_execution_price,entry_execution_basis,exit_execution_price,exit_execution_basis,last_recommendation,last_recommendation_reason,review_count,first_negative_reviewed_at,has_executable_sell_review,best_executable_net_pnl_pct,scan_date,ev_pct,direction_score,quality_score,tech_score,ret5,rsi14,spy_ret5,debit_pct_of_width,root_cause_hint
245,closed,TSLA,call,TSLA260518C00442500,2026-05-18,2026-05-12T08:10:00-06:00,2026-05-15T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-91.9284,net_pnl_pct,7.4075,spread_ask_bid,0.6,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-12,59.62,99.6,71.6,99.5396,13.3729,55.4604,2.9651,29.63,research_backfill_not_live_proof
246,closed,XLK,call,XLK260522C00177000,2026-05-22,2026-05-12T08:10:00-06:00,2026-05-18T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-79.6284,net_pnl_pct,3.6065,spread_ask_bid,0.74,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-12,97.825,98.5,65.6,97.5667,9.7686,57.4333,2.9651,51.5214,research_backfill_not_live_proof
247,closed,NEM,call,NEM260515C00119000,2026-05-15,2026-05-12T08:10:00-06:00,2026-05-14T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-95.1417,net_pnl_pct,3.0615,spread_ask_bid,0.15,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-12,57.91,97.8,58.0,96.2043,11.3911,58.7957,2.9651,51.025,research_backfill_not_live_proof
248,closed,IWM,call,IWM260519C00284000,2026-05-19,2026-05-12T08:10:00-06:00,2026-05-15T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-92.0266,net_pnl_pct,2.2315,spread_ask_bid,0.18,historical_spread_bid_ask,SELL,Historical executable exit hit the stop loss at -91.9%.,0,,False,,2026-05-12,87.53,91.4,71.7,97.2812,2.681,52.2812,2.9651,27.8938,research_backfill_not_live_proof
249,closed,SPY,call,SPY260519C00738000,2026-05-19,2026-05-12T08:10:00-06:00,2026-05-18T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-39.4154,net_pnl_pct,4.216,spread_ask_bid,2.57,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-12,80.715,86.7,60.5,87.1035,2.9651,67.8965,2.9651,32.4308,research_backfill_not_live_proof
250,closed,DIA,call,DIA260522C00497000,2026-05-22,2026-05-12T08:10:00-06:00,2026-05-18T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-20.8848,net_pnl_pct,3.8165,spread_ask_bid,3.04,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-12,65.78,76.4,55.0,76.1931,1.5422,66.3069,2.9651,31.8042,research_backfill_not_live_proof
251,closed,QQQ,call,QQQ260518C00709000,2026-05-18,2026-05-12T08:10:00-06:00,2026-05-15T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-26.4962,net_pnl_pct,5.4295,spread_ask_bid,4.01,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-12,62.3,74.0,63.7,80.2946,6.0055,74.7054,2.9651,33.9344,research_backfill_not_live_proof
252,closed,COIN,call,COIN260522C00207500,2026-05-22,2026-05-13T08:10:00-06:00,2026-05-18T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-82.8176,net_pnl_pct,5.6775,spread_ask_bid,0.98,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-13,54.68,94.4,75.1,98.9864,5.0013,53.9864,1.991,28.3875,research_backfill_not_live_proof
253,closed,NVDA,call,NVDA260518C00225000,2026-05-18,2026-05-13T08:10:00-06:00,2026-05-18T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-37.7207,net_pnl_pct,3.089,spread_ask_bid,1.94,historical_spread_bid_ask,SELL,historical_backfill_expired,0,,False,,2026-05-13,53.635,93.3,64.0,96.8791,12.3562,58.1209,1.991,30.89,research_backfill_not_live_proof
254,closed,XLK,call,XLK260522C00177500,2026-05-22,2026-05-13T08:10:00-06:00,2026-05-18T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-98.7871,net_pnl_pct,3.272,spread_ask_bid,0.04,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-13,89.125,92.5,66.1,95.5879,5.7779,59.4121,1.991,50.3385,research_backfill_not_live_proof
255,closed,DIA,call,DIA260522C00497000,2026-05-22,2026-05-13T08:10:00-06:00,2026-05-18T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-24.8312,net_pnl_pct,3.8985,spread_ask_bid,2.95,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-13,57.95,71.0,55.0,78.1747,1.0001,64.3253,1.991,35.4409,research_backfill_not_live_proof
256,closed,SPY,call,SPY260520C00739000,2026-05-20,2026-05-13T08:10:00-06:00,2026-05-18T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-34.5736,net_pnl_pct,4.758,spread_ask_bid,3.13,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-13,56.355,69.9,61.2,85.3365,1.991,69.6635,1.991,33.9857,research_backfill_not_live_proof
257,closed,QQQ,call,QQQ260520C00711000,2026-05-20,2026-05-13T08:10:00-06:00,2026-05-18T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-55.4118,net_pnl_pct,5.693,spread_ask_bid,2.55,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-13,51.715,66.7,63.4,82.6853,3.7602,72.3147,1.991,33.4882,research_backfill_not_live_proof
258,closed,TSLA,call,TSLA260520C00447500,2026-05-20,2026-05-14T08:10:00-06:00,2026-05-18T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-98.3586,net_pnl_pct,7.285,spread_ask_bid,0.12,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-14,50.5,90.0,72.6,98.5055,11.6721,56.4945,1.1556,29.14,research_backfill_not_live_proof
259,closed,NVDA,call,NVDA260522C00230000,2026-05-22,2026-05-14T08:10:00-06:00,2026-05-18T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-55.2676,net_pnl_pct,5.6075,spread_ask_bid,2.52,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-14,50.025,89.5,69.4,97.6242,8.6609,57.3758,1.1556,44.86,research_backfill_not_live_proof
260,closed,XLK,call,XLK260522C00177500,2026-05-22,2026-05-14T08:10:00-06:00,2026-05-18T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-100.0,net_pnl_pct,3.751,spread_ask_bid,0.0,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-14,81.73,87.4,67.5,99.315,4.0111,55.685,1.1556,75.02,research_backfill_not_live_proof
261,closed,QQQ,call,QQQ260521C00715000,2026-05-21,2026-05-14T08:10:00-06:00,2026-05-18T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-66.5288,net_pnl_pct,7.5925,spread_ask_bid,2.55,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-14,66.36,76.8,69.1,87.0582,2.7222,67.9418,1.1556,47.4531,research_backfill_not_live_proof
262,closed,SPY,call,SPY260521C00744000,2026-05-21,2026-05-14T08:10:00-06:00,2026-05-18T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-64.8,net_pnl_pct,5.599,spread_ask_bid,1.98,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-14,45.915,62.7,71.7,84.5288,1.1556,70.4712,1.1556,46.6583,research_backfill_not_live_proof
263,closed,XLK,call,XLK260522C00176000,2026-05-22,2026-05-15T08:10:00-06:00,2026-05-19T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-87.116,net_pnl_pct,3.001,spread_ask_bid,0.39,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-15,93.91,95.8,67.5,99.0338,5.7811,55.9662,2.2677,60.02,research_backfill_not_live_proof
264,closed,NVDA,call,NVDA260522C00230000,2026-05-22,2026-05-15T08:10:00-06:00,2026-05-19T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-58.0435,net_pnl_pct,4.5025,spread_ask_bid,1.9,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-15,56.01,95.8,65.4,98.8982,11.461,56.1018,2.2677,36.02,research_backfill_not_live_proof
265,closed,COIN,call,COIN260522C00207500,2026-05-22,2026-05-15T08:10:00-06:00,2026-05-19T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-71.4211,net_pnl_pct,3.788,spread_ask_bid,1.09,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-15,55.06,94.8,76.7,97.1493,9.8725,52.1493,2.2677,21.6457,research_backfill_not_live_proof
266,closed,QQQ,call,QQQ260522C00711000,2026-05-22,2026-05-15T08:10:00-06:00,2026-05-20T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-13.2134,net_pnl_pct,6.369,spread_ask_bid,5.55,historical_spread_bid_ask,SELL,"Historical time exit reached after 5 calendar day(s), versus a 4-day limit.",0,,False,,2026-05-15,78.25,85.0,69.3,87.1846,3.5758,67.8154,2.2677,42.46,research_backfill_not_live_proof
267,closed,DIA,call,DIA260522C00498000,2026-05-22,2026-05-15T08:10:00-06:00,2026-05-19T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-62.7186,net_pnl_pct,3.005,spread_ask_bid,1.13,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-15,71.0,80.0,61.8,92.1212,0.9861,62.8788,2.2677,33.3889,research_backfill_not_live_proof
268,closed,IWM,call,IWM260522C00281000,2026-05-22,2026-05-15T08:10:00-06:00,2026-05-19T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-92.2939,net_pnl_pct,1.9205,spread_ask_bid,0.15,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-15,58.965,71.7,80.2,78.277,0.7759,45.777,2.2677,32.0083,research_backfill_not_live_proof
269,closed,SPY,call,SPY260522C00743000,2026-05-22,2026-05-15T08:10:00-06:00,2026-05-19T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-76.0966,net_pnl_pct,4.1575,spread_ask_bid,1.0,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-05-15,58.095,71.1,71.5,83.4491,2.2677,71.5509,2.2677,37.7955,research_backfill_not_live_proof
270,closed,NVDA,call,NVDA260527C00230000,2026-05-27,2026-05-18T08:10:00-06:00,2026-05-22T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-95.4057,net_pnl_pct,4.7625,spread_ask_bid,0.22,historical_spread_bid_ask,SELL,Historical executable exit hit the stop loss at -95.4%.,0,,False,,2026-05-18,43.945,83.1,57.2,98.2282,4.7026,56.7718,0.2101,31.75,research_backfill_not_live_proof
272,closed,XLK,call,XLK260529C00178000,2026-05-29,2026-05-18T08:10:00-06:00,2026-05-18T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-92.6567,net_pnl_pct,3.787,spread_ask_bid,0.28,historical_spread_bid_ask,SELL,Historical executable exit hit the stop loss at -92.6%.,0,,False,,2026-05-18,47.8,64.0,66.3,86.8126,0.4216,54.3126,0.2101,54.1,research_backfill_not_live_proof
