position_id,ticker,lane,entry_date,baseline_close_date,baseline_pnl_pct,evidence_group,market_regime,quality_score,fill_degradation_pct,debit_pct_of_width,worst_leg_bid_ask_pct,priced_day_count,unpriced_day_count,stop_50_triggered,stop_50_date,stop_50_pnl_pct,stop_50_delta_pct,stop_50_classification,stop_50_quality,stop_60_triggered,stop_60_date,stop_60_pnl_pct,stop_60_delta_pct,stop_60_classification,stop_60_quality,stop_70_triggered,stop_70_date,stop_70_pnl_pct,stop_70_delta_pct,stop_70_classification,stop_70_quality,stop_80_triggered,stop_80_date,stop_80_pnl_pct,stop_80_delta_pct,stop_80_classification,stop_80_quality,stop_90_triggered,stop_90_date,stop_90_pnl_pct,stop_90_delta_pct,stop_90_classification,stop_90_quality
470,AAPL,bullish_momentum,2026-04-29,2026-05-08,101.7073,historical_paper,bullish,75.5,11.6427,43.95,3.681,8,0,False,,101.7073,0.0,no_stop_trigger,no_stop_trigger,False,,101.7073,0.0,no_stop_trigger,no_stop_trigger,False,,101.7073,0.0,no_stop_trigger,no_stop_trigger,False,,101.7073,0.0,no_stop_trigger,no_stop_trigger,False,,101.7073,0.0,no_stop_trigger,no_stop_trigger
473,AAPL,bullish_momentum,2026-05-04,2026-05-08,230.7359,historical_paper,bullish,74.7,10.0577,22.892,6.6667,5,0,False,,230.7359,0.0,no_stop_trigger,no_stop_trigger,False,,230.7359,0.0,no_stop_trigger,no_stop_trigger,False,,230.7359,0.0,no_stop_trigger,no_stop_trigger,False,,230.7359,0.0,no_stop_trigger,no_stop_trigger,False,,230.7359,0.0,no_stop_trigger,no_stop_trigger
477,AAPL,bullish_momentum,2026-05-07,2026-05-15,51.2052,historical_paper,bullish,71.9,10.9118,37.3033,5.9801,7,0,False,,51.2052,0.0,no_stop_trigger,no_stop_trigger,False,,51.2052,0.0,no_stop_trigger,no_stop_trigger,False,,51.2052,0.0,no_stop_trigger,no_stop_trigger,False,,51.2052,0.0,no_stop_trigger,no_stop_trigger,False,,51.2052,0.0,no_stop_trigger,no_stop_trigger
479,AAPL,bullish_momentum,2026-05-08,2026-05-18,18.4873,historical_paper,bullish,71.6,9.2609,40.9,4.5603,7,0,False,,18.4873,0.0,no_stop_trigger,no_stop_trigger,False,,18.4873,0.0,no_stop_trigger,no_stop_trigger,False,,18.4873,0.0,no_stop_trigger,no_stop_trigger,False,,18.4873,0.0,no_stop_trigger,no_stop_trigger,False,,18.4873,0.0,no_stop_trigger,no_stop_trigger
484,AAPL,bullish_momentum,2026-05-12,2026-05-21,64.8352,historical_paper,bullish,72.7,11.1842,33.8,5.7554,8,0,False,,64.8352,0.0,no_stop_trigger,no_stop_trigger,False,,64.8352,0.0,no_stop_trigger,no_stop_trigger,False,,64.8352,0.0,no_stop_trigger,no_stop_trigger,False,,64.8352,0.0,no_stop_trigger,no_stop_trigger,False,,64.8352,0.0,no_stop_trigger,no_stop_trigger
440,AMD,bullish_momentum,2026-04-08,2026-04-13,141.3163,historical_paper,bullish,72.8,11.2155,24.1956,13.6986,4,0,False,,141.3163,0.0,no_stop_trigger,no_stop_trigger,False,,141.3163,0.0,no_stop_trigger,no_stop_trigger,False,,141.3163,0.0,no_stop_trigger,no_stop_trigger,False,,141.3163,0.0,no_stop_trigger,no_stop_trigger,False,,141.3163,0.0,no_stop_trigger,no_stop_trigger
448,AMD,bullish_momentum,2026-04-14,2026-04-17,167.3657,historical_paper,bullish,74.9,12.0256,28.4825,4.4444,4,0,False,,167.3657,0.0,no_stop_trigger,no_stop_trigger,False,,167.3657,0.0,no_stop_trigger,no_stop_trigger,False,,167.3657,0.0,no_stop_trigger,no_stop_trigger,False,,167.3657,0.0,no_stop_trigger,no_stop_trigger,False,,167.3657,0.0,no_stop_trigger,no_stop_trigger
450,AMD,bullish_momentum,2026-04-15,2026-04-22,171.6231,historical_paper,bullish,74.6,11.7665,29.864,6.012,6,0,False,,171.6231,0.0,no_stop_trigger,no_stop_trigger,False,,171.6231,0.0,no_stop_trigger,no_stop_trigger,False,,171.6231,0.0,no_stop_trigger,no_stop_trigger,False,,171.6231,0.0,no_stop_trigger,no_stop_trigger,False,,171.6231,0.0,no_stop_trigger,no_stop_trigger
451,AMD,bullish_momentum,2026-04-16,2026-04-28,190.69,historical_paper,bullish,75.1,14.0152,30.1,8.547,7,2,False,,190.69,0.0,no_stop_trigger,no_stop_trigger,False,,190.69,0.0,no_stop_trigger,no_stop_trigger,False,,190.69,0.0,no_stop_trigger,no_stop_trigger,False,,190.69,0.0,no_stop_trigger,no_stop_trigger,False,,190.69,0.0,no_stop_trigger,no_stop_trigger
453,AMD,bullish_momentum,2026-04-17,2026-04-24,219.2796,historical_paper,bullish,74.6,12.2675,26.5564,5.1724,6,0,False,,219.2796,0.0,no_stop_trigger,no_stop_trigger,False,,219.2796,0.0,no_stop_trigger,no_stop_trigger,False,,219.2796,0.0,no_stop_trigger,no_stop_trigger,False,,219.2796,0.0,no_stop_trigger,no_stop_trigger,False,,219.2796,0.0,no_stop_trigger,no_stop_trigger
455,AMD,bullish_momentum,2026-04-20,2026-04-24,212.3632,historical_paper,bullish,74.7,12.8099,27.3,4.878,5,0,False,,212.3632,0.0,no_stop_trigger,no_stop_trigger,False,,212.3632,0.0,no_stop_trigger,no_stop_trigger,False,,212.3632,0.0,no_stop_trigger,no_stop_trigger,False,,212.3632,0.0,no_stop_trigger,no_stop_trigger,False,,212.3632,0.0,no_stop_trigger,no_stop_trigger
457,AMD,bullish_momentum,2026-04-21,2026-04-28,100.0877,historical_paper,bullish,75.1,12.9814,40.4222,7.5949,5,1,False,,100.0877,0.0,no_stop_trigger,no_stop_trigger,False,,100.0877,0.0,no_stop_trigger,no_stop_trigger,False,,100.0877,0.0,no_stop_trigger,no_stop_trigger,False,,100.0877,0.0,no_stop_trigger,no_stop_trigger,False,,100.0877,0.0,no_stop_trigger,no_stop_trigger
459,AMD,bullish_momentum,2026-04-22,2026-04-27,138.7444,historical_paper,bullish,75.2,13.5227,33.3,6.4516,4,0,False,,138.7444,0.0,no_stop_trigger,no_stop_trigger,False,,138.7444,0.0,no_stop_trigger,no_stop_trigger,False,,138.7444,0.0,no_stop_trigger,no_stop_trigger,False,,138.7444,0.0,no_stop_trigger,no_stop_trigger,False,,138.7444,0.0,no_stop_trigger,no_stop_trigger
461,AMD,bullish_momentum,2026-04-23,2026-05-01,79.1314,historical_paper,bullish,74.4,17.8704,42.4333,5.1282,7,0,False,,79.1314,0.0,no_stop_trigger,no_stop_trigger,False,,79.1314,0.0,no_stop_trigger,no_stop_trigger,False,,79.1314,0.0,no_stop_trigger,no_stop_trigger,False,,79.1314,0.0,no_stop_trigger,no_stop_trigger,False,,79.1314,0.0,no_stop_trigger,no_stop_trigger
441,AMZN,bullish_momentum,2026-04-09,2026-04-14,153.4016,historical_paper,bullish,76.3,11.1592,31.836,6.8966,4,0,False,,153.4016,0.0,no_stop_trigger,no_stop_trigger,False,,153.4016,0.0,no_stop_trigger,no_stop_trigger,False,,153.4016,0.0,no_stop_trigger,no_stop_trigger,False,,153.4016,0.0,no_stop_trigger,no_stop_trigger,False,,153.4016,0.0,no_stop_trigger,no_stop_trigger
472,BAC,bullish_momentum,2026-05-01,2026-05-08,-97.5031,historical_paper,bullish,79.7,13.9706,38.75,10.0,6,0,True,2026-05-04,-71.2859,26.2172,deep_loss_reduced,actionable_close_check_stop,True,2026-05-04,-71.2859,26.2172,deep_loss_reduced,actionable_close_check_stop,True,2026-05-04,-71.2859,26.2172,deep_loss_reduced,actionable_close_check_stop,True,2026-05-08,-97.5031,0.0,same_as_baseline,actionable_close_check_stop,True,2026-05-08,-97.5031,0.0,same_as_baseline,actionable_close_check_stop
449,NFLX,bullish_momentum,2026-04-15,2026-04-17,-94.0719,historical_paper,bullish,80.5,16.4706,44.55,1.8349,3,0,True,2026-04-17,-94.0719,0.0,same_as_baseline,actionable_close_check_stop,True,2026-04-17,-94.0719,0.0,same_as_baseline,actionable_close_check_stop,True,2026-04-17,-94.0719,0.0,same_as_baseline,actionable_close_check_stop,True,2026-04-17,-94.0719,0.0,same_as_baseline,actionable_close_check_stop,True,2026-04-17,-94.0719,0.0,same_as_baseline,actionable_close_check_stop
444,UNH,bullish_momentum,2026-04-10,2026-04-20,37.2245,historical_paper,bullish,74.1,19.62,40.1325,10.7969,7,0,False,,37.2245,0.0,no_stop_trigger,no_stop_trigger,False,,37.2245,0.0,no_stop_trigger,no_stop_trigger,False,,37.2245,0.0,no_stop_trigger,no_stop_trigger,False,,37.2245,0.0,no_stop_trigger,no_stop_trigger,False,,37.2245,0.0,no_stop_trigger,no_stop_trigger
452,UNH,bullish_momentum,2026-04-16,2026-04-24,117.5355,historical_paper,bullish,74.7,15.852,33.3911,8.8795,7,0,False,,117.5355,0.0,no_stop_trigger,no_stop_trigger,False,,117.5355,0.0,no_stop_trigger,no_stop_trigger,False,,117.5355,0.0,no_stop_trigger,no_stop_trigger,False,,117.5355,0.0,no_stop_trigger,no_stop_trigger,False,,117.5355,0.0,no_stop_trigger,no_stop_trigger
456,UNH,bullish_momentum,2026-04-20,2026-04-27,138.4256,historical_paper,bullish,74.4,13.6017,35.1156,11.0294,6,0,False,,138.4256,0.0,no_stop_trigger,no_stop_trigger,False,,138.4256,0.0,no_stop_trigger,no_stop_trigger,False,,138.4256,0.0,no_stop_trigger,no_stop_trigger,False,,138.4256,0.0,no_stop_trigger,no_stop_trigger,False,,138.4256,0.0,no_stop_trigger,no_stop_trigger
466,UNH,bullish_momentum,2026-04-27,2026-05-04,150.3726,historical_paper,bullish,73.6,13.3234,22.71,12.5,6,0,False,,150.3726,0.0,no_stop_trigger,no_stop_trigger,False,,150.3726,0.0,no_stop_trigger,no_stop_trigger,False,,150.3726,0.0,no_stop_trigger,no_stop_trigger,False,,150.3726,0.0,no_stop_trigger,no_stop_trigger,False,,150.3726,0.0,no_stop_trigger,no_stop_trigger
468,UNH,bullish_momentum,2026-04-28,2026-05-07,4.0862,historical_paper,bullish,73.6,11.8786,32.2583,7.1942,8,0,False,,4.0862,0.0,no_stop_trigger,no_stop_trigger,False,,4.0862,0.0,no_stop_trigger,no_stop_trigger,False,,4.0862,0.0,no_stop_trigger,no_stop_trigger,False,,4.0862,0.0,no_stop_trigger,no_stop_trigger,False,,4.0862,0.0,no_stop_trigger,no_stop_trigger
93,GOOGL,bullish_pullback_observation,2026-05-18,2026-05-30,-83.6131,historical_paper,neutral,58.4,13.2847,41.3867,7.619,5,4,True,2026-05-19,-60.1827,23.4304,deep_loss_reduced,actionable_close_check_stop,True,2026-05-19,-60.1827,23.4304,deep_loss_reduced,actionable_close_check_stop,True,2026-05-22,-74.5915,9.0216,deep_loss_reduced,actionable_close_check_stop,False,,-83.6131,0.0,no_stop_trigger,no_stop_trigger,False,,-83.6131,0.0,no_stop_trigger,no_stop_trigger
59,IWM,bullish_pullback_observation,2026-04-28,2026-05-05,33.1729,historical_paper,bullish,65.5,7.8454,32.6658,3.7037,4,2,False,,33.1729,0.0,no_stop_trigger,no_stop_trigger,False,,33.1729,0.0,no_stop_trigger,no_stop_trigger,False,,33.1729,0.0,no_stop_trigger,no_stop_trigger,False,,33.1729,0.0,no_stop_trigger,no_stop_trigger,False,,33.1729,0.0,no_stop_trigger,no_stop_trigger
63,IWM,bullish_pullback_observation,2026-04-29,2026-04-30,20.8675,historical_paper,bullish,63.7,7.8188,32.2605,5.291,2,0,False,,20.8675,0.0,no_stop_trigger,no_stop_trigger,False,,20.8675,0.0,no_stop_trigger,no_stop_trigger,False,,20.8675,0.0,no_stop_trigger,no_stop_trigger,False,,20.8675,0.0,no_stop_trigger,no_stop_trigger,False,,20.8675,0.0,no_stop_trigger,no_stop_trigger
65,IWM,bullish_pullback_observation,2026-04-30,2026-05-01,25.7252,historical_paper,neutral,62.8,7.2332,33.9125,3.1414,2,0,False,,25.7252,0.0,no_stop_trigger,no_stop_trigger,False,,25.7252,0.0,no_stop_trigger,no_stop_trigger,False,,25.7252,0.0,no_stop_trigger,no_stop_trigger,False,,25.7252,0.0,no_stop_trigger,no_stop_trigger,False,,25.7252,0.0,no_stop_trigger,no_stop_trigger
101,UNH,bullish_pullback_observation,2026-05-20,2026-05-30,-63.125,historical_paper,bearish,88.0,13.1984,29.6754,16.4589,3,4,False,,-63.125,0.0,no_stop_trigger,no_stop_trigger,False,,-63.125,0.0,no_stop_trigger,no_stop_trigger,False,,-63.125,0.0,no_stop_trigger,no_stop_trigger,False,,-63.125,0.0,no_stop_trigger,no_stop_trigger,False,,-63.125,0.0,no_stop_trigger,no_stop_trigger
136,AMD,short_term,2026-04-14,2026-04-16,215.9041,historical_paper,bullish,68.0,11.1585,29.168,5.0251,3,0,False,,215.9041,0.0,no_stop_trigger,no_stop_trigger,False,,215.9041,0.0,no_stop_trigger,no_stop_trigger,False,,215.9041,0.0,no_stop_trigger,no_stop_trigger,False,,215.9041,0.0,no_stop_trigger,no_stop_trigger,False,,215.9041,0.0,no_stop_trigger,no_stop_trigger
