symbol,earnings_date_et,earnings_time,source_name,source_url_or_file_name,source_published_at_utc,known_at_utc,revision_status,source_calendar_coverage_start_date_et,source_calendar_coverage_end_date_et
CVX,2022-04-29,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/93410/000009341022000023/cvx-20220429.htm,2022-04-29T10:16:49Z,2022-04-29T10:16:49Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
CVX,2022-07-29,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/93410/000009341022000062/cvx-20220729.htm,2022-07-29T10:16:50Z,2022-07-29T10:16:50Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
CVX,2022-10-28,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/93410/000009341022000072/cvx-20221028.htm,2022-10-28T10:19:21Z,2022-10-28T10:19:21Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
CVX,2023-01-27,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/93410/000009341023000003/cvx-20230125.htm,2023-01-27T11:48:29Z,2023-01-27T11:48:29Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
CVX,2023-04-28,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/93410/000009341023000063/cvx-20230428.htm,2023-04-28T10:17:21Z,2023-04-28T10:17:21Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
CVX,2023-07-24,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/93410/000095014223002083/eh230384172_8k.htm,2023-07-24T10:01:10Z,2023-07-24T10:01:10Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
CVX,2023-07-28,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/93410/000009341023000076/cvx-20230728.htm,2023-07-28T10:16:33Z,2023-07-28T10:16:33Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
CVX,2023-10-27,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/93410/000009341023000085/cvx-20231027.htm,2023-10-27T10:16:38Z,2023-10-27T10:16:38Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
CVX,2024-01-02,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/93410/000009341024000002/cvx-20240102.htm,2024-01-02T13:00:35Z,2024-01-02T13:00:35Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
CVX,2024-02-02,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/93410/000009341024000006/cvx-20240202.htm,2024-02-02T11:17:17Z,2024-02-02T11:17:17Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
