symbol,bar_date,open,high,low,close,adjustment_policy,volume,vendor,source,source_event_date,published_at_utc,known_at_utc,fetched_at_utc,adjustment_mode,corporate_action_basis,source_url_or_file_name,provenance_id,source_quality
SPY,2021-10-01,430.980000,436.032900,427.230000,434.240000,raw_unadjusted_alpaca_sip_daily_bar,131035258,Alpaca Markets SIP,alpaca_sip_stock_bars,2021-10-01,2021-10-01T21:15:00Z,2021-10-01T21:15:00Z,2026-07-06T05:24:38Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2021-10-01,trusted
SPY,2021-10-04,433.000000,433.960000,426.360000,428.640000,raw_unadjusted_alpaca_sip_daily_bar,130626145,Alpaca Markets SIP,alpaca_sip_stock_bars,2021-10-04,2021-10-04T21:15:00Z,2021-10-04T21:15:00Z,2026-07-06T05:24:38Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2021-10-04,trusted
SPY,2021-10-05,430.240000,435.490000,429.390000,433.100000,raw_unadjusted_alpaca_sip_daily_bar,92100880,Alpaca Markets SIP,alpaca_sip_stock_bars,2021-10-05,2021-10-05T21:15:00Z,2021-10-05T21:15:00Z,2026-07-06T05:24:38Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2021-10-05,trusted
SPY,2021-10-06,429.270000,435.119900,427.540000,434.900000,raw_unadjusted_alpaca_sip_daily_bar,113897035,Alpaca Markets SIP,alpaca_sip_stock_bars,2021-10-06,2021-10-06T21:15:00Z,2021-10-06T21:15:00Z,2026-07-06T05:24:38Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2021-10-06,trusted
SPY,2021-10-07,438.390000,441.680000,438.200000,438.660000,raw_unadjusted_alpaca_sip_daily_bar,73716653,Alpaca Markets SIP,alpaca_sip_stock_bars,2021-10-07,2021-10-07T21:15:00Z,2021-10-07T21:15:00Z,2026-07-06T05:24:38Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2021-10-07,trusted
SPY,2021-10-08,439.480000,439.890000,437.190000,437.860000,raw_unadjusted_alpaca_sip_daily_bar,75477568,Alpaca Markets SIP,alpaca_sip_stock_bars,2021-10-08,2021-10-08T21:15:00Z,2021-10-08T21:15:00Z,2026-07-06T05:24:38Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2021-10-08,trusted
SPY,2021-10-11,437.160000,440.260000,434.620000,434.690000,raw_unadjusted_alpaca_sip_daily_bar,66278854,Alpaca Markets SIP,alpaca_sip_stock_bars,2021-10-11,2021-10-11T21:15:00Z,2021-10-11T21:15:00Z,2026-07-06T05:24:38Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2021-10-11,trusted
SPY,2021-10-12,435.670000,436.100000,432.780000,433.620000,raw_unadjusted_alpaca_sip_daily_bar,71939356,Alpaca Markets SIP,alpaca_sip_stock_bars,2021-10-12,2021-10-12T21:15:00Z,2021-10-12T21:15:00Z,2026-07-06T05:24:38Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2021-10-12,trusted
SPY,2021-10-13,434.710000,436.050000,431.540000,435.180000,raw_unadjusted_alpaca_sip_daily_bar,73949659,Alpaca Markets SIP,alpaca_sip_stock_bars,2021-10-13,2021-10-13T21:15:00Z,2021-10-13T21:15:00Z,2026-07-06T05:24:38Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2021-10-13,trusted
SPY,2021-10-14,439.080000,442.660000,438.580000,442.500000,raw_unadjusted_alpaca_sip_daily_bar,71905000,Alpaca Markets SIP,alpaca_sip_stock_bars,2021-10-14,2021-10-14T21:15:00Z,2021-10-14T21:15:00Z,2026-07-06T05:24:38Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2021-10-14,trusted
SPY,2021-10-15,444.750000,446.260000,444.090000,445.870000,raw_unadjusted_alpaca_sip_daily_bar,67668867,Alpaca Markets SIP,alpaca_sip_stock_bars,2021-10-15,2021-10-15T21:15:00Z,2021-10-15T21:15:00Z,2026-07-06T05:24:38Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2021-10-15,trusted
SPY,2021-10-18,443.970000,447.550000,443.270000,447.190000,raw_unadjusted_alpaca_sip_daily_bar,64093511,Alpaca Markets SIP,alpaca_sip_stock_bars,2021-10-18,2021-10-18T21:15:00Z,2021-10-18T21:15:00Z,2026-07-06T05:24:38Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2021-10-18,trusted
SPY,2021-10-19,448.920000,450.710000,448.270000,450.640000,raw_unadjusted_alpaca_sip_daily_bar,48371320,Alpaca Markets SIP,alpaca_sip_stock_bars,2021-10-19,2021-10-19T21:15:00Z,2021-10-19T21:15:00Z,2026-07-06T05:24:38Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2021-10-19,trusted
SPY,2021-10-20,451.130000,452.732000,451.010000,452.410000,raw_unadjusted_alpaca_sip_daily_bar,50871680,Alpaca Markets SIP,alpaca_sip_stock_bars,2021-10-20,2021-10-20T21:15:00Z,2021-10-20T21:15:00Z,2026-07-06T05:24:38Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:SPY:2021-10-20,trusted
